date,yhat,yhat_lower,yhat_upper
2023-04-01,5087.662523869845,5010.103548803834,5161.549026501808
2023-05-01,5524.667200640997,5457.815729485523,5598.4118212946805
2023-06-01,5397.881413657527,5326.561687931653,5472.342658534879
2023-07-01,5326.287214333402,5249.412655247636,5404.423384140834
2023-08-01,5008.835439011164,4931.869762153219,5084.559329161517
2023-09-01,4901.382308975154,4826.233984766899,4977.899608094292
2023-10-01,5043.44869434047,4968.459804696265,5120.071149895114
2023-11-01,4803.744774580337,4731.252547839106,4876.499233180274
2023-12-01,4521.298553835152,4451.832355687946,4598.054516556197
2024-01-01,4706.188919104515,4629.858913845316,4780.759163368863
2024-02-01,4732.031015049219,4660.831416014333,4805.324373177415
2024-03-01,5085.5155165803035,5016.000901954603,5154.386189272826
2024-04-01,4946.273458513584,4875.224284975827,5019.226925018348
2024-05-01,5176.046053845568,5103.79926212249,5250.058701319661
2024-06-01,4941.92537445093,4867.189700400265,5013.555323641229
2024-07-01,5287.407556083611,5219.708777821308,5361.524127592823
2024-08-01,5069.131269051268,4996.581491871714,5143.10375033199
2024-09-01,4720.294263439635,4650.470224566382,4792.9857651612965
2024-10-01,5238.124912899058,5164.092557440891,5314.637539110167
2024-11-01,4946.880959255504,4872.728142618338,5020.0478808115395
2024-12-01,4579.852895892708,4508.54418006742,4653.387625591976
2025-01-01,4517.5130987120165,4446.079906961111,4589.4058137280135
2025-02-01,4206.341824778958,4132.790041226595,4275.347706631492
2025-03-01,4852.542742341925,4781.9250591965265,4926.846228278907
2025-04-01,4877.051996029726,4806.805924069214,4951.830602481579
2025-05-01,5180.929090706789,5114.765267306763,5255.546500132101
2025-06-01,4989.837699932921,4917.9156546263175,5065.152788041251
2025-07-01,5202.02658871174,5128.883613427178,5277.485359016618
2025-08-01,4952.730012353246,4877.405973566187,5023.20648394058
2025-09-01,4689.109446184605,4617.356873726422,4761.7680266054795
2025-10-01,5086.530531882149,5008.848696351371,5163.714061371041
2025-11-01,4798.473362203253,4725.5393106361735,4870.19634253785
2025-12-01,4454.27430929736,4376.08799336427,4527.343356721243
2026-01-01,4470.631832938761,4398.989549666727,4548.611425013662
2026-02-01,4273.095698412997,4197.004431919861,4347.5525331674
2026-03-01,4521.797398522907,4451.699549983784,4595.05793741225
2026-04-01,4727.915463055028,4655.894337775289,4799.876320797212
2026-05-01,5116.715687625223,5043.9310160271725,5190.838697322072
2026-06-01,4977.73648751896,4901.823491677065,5045.814627370765
2026-07-01,5066.643585165241,4985.757140670889,5143.959612575852
2026-08-01,4800.593334028538,4720.953767604449,4880.395107072366
